AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2015,3817,Valle del Cauca (ETC),159599,87.52,87.48,52.93,85.94,74.83,40.68,99.59,78.77,107.35,106.36,78,23.77,16.5,3.09,3.72,2.51,3.88,2.67,91.89,95.94,93.78,88.28,92.84,5.02,0.34,3.71,7.84,4.49,2.73,1.28,2.81,3.39,1.28
2012,3780,Valledupar,107168,875447894893998,87.27,54.79,86.81,70.47,38.39,97.87,54.79,86.81,70.47,38.39,26.41,22.53,3.68,5.45,3.42,3.87,2.78,91.51,94.49,93.96,88.59,88.77,4.81,0.06,2.62,7.55,8.45,0.8,0.33,0.77,1.03,0.53
2014,3780,Valledupar,108730,87.66,87.44,53.74,84.08,73.58,41.03,96.38,91.33,104.89,98.21,74.07,28.12,26.79,6.51,7.07,5.97,7.1,6.37,93.42,92.93,94.03,92.9,92.99,0.08,0,0,0,0.64,1.42,0.94,1.24,1.92,0.8
2015,3780,Valledupar,109431,87.44,87.24,56.03,84.08,72.32,41.94,95.97,89.12,104.86,97.01,75.38,27.21,63.1,4.15,3.96,3.54,5.19,3.46,91.61,95.93,93.39,88.43,91.59,4.25,0.11,3.07,6.38,4.95,1.7,1.2,1.64,2.05,1.23
2011,3780,Valledupar,105948,87.76,87.43,57.76,86.79,67.78,40.42,98.33,89.18,111.65,95.14,75.57,23.85,28.02,3.33,3.08,3.4,3.46,2.79,93.33,96.73,94.53,91.4,92.51,3.34,0.19,2.07,5.14,4.69,0.51,0.83,0.5,0.57,0.22
2017,3780,Valledupar,110493,88.93,88.68,59.96,86.09,73.82,45.13,99.81,94.68,108.68,98.71,82.95,32.803,20.11,2.93,3.88,2.51,3.49,2.16,91.52,95.78,93.46,88.16,91.56,5.55,0.33,4.03,8.34,6.28,0.7,1.21,0.6,0.83,0.39
2013,3780,Valledupar,107901,86.9,86.71,51.65,84.03,71.09,40.17,97.5,96.08,107.56,96.17,75.72,43.06,66.67,3.33,4.85,2.89,3.66,2.97,91.39,94.29,93.37,88.95,89.28,5.27,0.86,3.74,7.39,7.75,0.93,1,0.98,0.97,0.58
2016,3780,Valledupar,109968,87.19,86.96,54.95,84.81,72.02,44.77,96.95,92.32,105.25,95.83,81.15,27.037,63.91,4.07,4.86,3.57,5.02,2.53,90.92,94.52,92.75,87.41,92.27,5.01,0.61,3.67,7.56,5.2,1.03,1.03,0.92,1.27,0.65
2013,3831,Vaupés (ETC),12659,62.25,62.25,21.69,63.88,33.2,8.94,74.45,46.56,100.04,64.21,41.06,14.37,19.33,8.53,11.55,7.25,11.19,6.75,81.3,86.93,80.44,80.97,85.61,10.17,1.52,12.31,7.85,7.64,2.85,0.76,2.96,3.01,3.2
2016,3831,Vaupés (ETC),12654,64.17,64.17,23.91,63.33,38.09,12.67,76.78,47.3,96.43,73.94,45.46,14.21,25.66,6.6,6.37,4.97,10.15,5.11,83.11,93.45,82.91,80.29,87.84,10.29,0.19,12.12,9.56,7.06,3.02,1.31,3.26,3.2,1.8
2017,3831,Vaupés (ETC),12668,66.48,65.38,23.37,65.39,39.27,14.03,78.29,45.08,99.3,74.08,48.28,14.709,13.39,8,8.77,6.05,11.69,7.85,80.89,90.64,79.81,80.1,84.99,11.12,0.58,14.14,8.21,7.15,3.16,0.78,3.57,3.38,0.98
2015,3831,Vaupés (ETC),12684,64.08,64.08,20.27,64.42,35.56,11.59,76.58,44.34,101.51,68.79,42.91,14.69,24.58,8.08,6.79,7.73,9.66,5.86,78.38,87.43,77.15,77.41,85.74,13.54,5.79,15.12,12.93,8.4,6.15,2.79,7.76,4.34,2.06
2011,3831,Vaupés (ETC),12690,62.18,62.18,19.22,65.41,29.04,9.73,72.29,32.03,101.28,60.2,39.92,13.39,7.63,9.94,7.22,8.72,12.1,14.24,81.16,89.17,81.5,79.8,78.72,8.89,3.61,9.79,8.1,7.04,3.49,1.11,4.08,3.37,0.16
2014,3831,Vaupés (ETC),12699,62.82,62.82,20.97,62.37,34.17,11.1,74.25,41.77,99.52,65.62,41.31,15.28,12.61,7.86,3.18,5.99,11.83,12.07,90,96.82,92.42,85.48,81.57,2.14,0,1.59,2.68,6.36,5.11,2.12,5.95,4.8,1.31
2012,3831,Vaupés (ETC),12681,623215834713351,62.32,25.29,63.35,31.81,9.36,73.18,25.29,63.35,31.81,9.36,13.21,20.61,7.62,9.09,6.62,8.9,10.82,79.86,88.64,79.86,78.81,76.63,12.52,2.27,13.52,12.3,12.54,3.2,1.03,4.11,2.09,0.86
2014,3832,Vichada (ETC),21331,74.52,74.51,34.5,74.82,36.18,14.2,84.1,83.6,118.12,62.09,36.36,17.86,49.46,5.09,3,3.95,8.63,5.48,88.75,94.06,88.65,86.89,89.51,6.16,2.94,7.4,4.47,5.01,1.31,0.33,1.33,1.67,1.04
2016,3832,Vichada (ETC),21951,77.78,77.78,41.52,80.09,34.58,14.69,87.9,84.46,125.36,63.17,37.3,17.248,41.58,8.16,10.14,7.71,9.09,6.22,78.03,88.05,75.21,79.37,88.22,13.81,1.8,17.08,11.53,5.57,3.26,1.74,3.79,2.88,1.21
2011,3832,Vichada (ETC),20360,73.07,72.98,31.84,74.47,32.89,15.54,82.08,50.78,120.78,59.48,39.03,15.7,16.67,7.33,8.82,8.77,4.29,2.67,91.77,91.18,90.01,95.45,96.57,0.9,0,1.22,0.26,0.76,0.88,0.11,0.82,1.11,1.33
2012,3832,Vichada (ETC),20686,667504592478004,66.75,38.02,66.96,33.37,15.01,75.11,38.02,66.96,33.37,15.01,15.67,17.86,5.07,7.59,4.41,6.11,4.14,88.24,88.41,86.45,91.08,93.94,6.69,4,9.14,2.81,1.92,1.1,0.08,0.93,1.97,0.81
2015,3832,Vichada (ETC),21644,76.82,76.81,39.63,79.35,34.6,14.94,87.09,86.64,123.64,62.26,38.02,14.63,41.62,9.23,10.14,8.15,12.15,7.96,76.94,88.24,75.5,74.46,84.8,13.82,1.62,16.34,13.39,7.24,3.54,1.99,3.07,5.45,3.44
2017,3832,Vichada (ETC),22282,77.93,77.93,46.15,79.59,33.87,14.91,92.69,89.56,134.58,64.13,37.4,21.875,37.7,8.65,9.47,7.97,10.48,7.4,76.3,89.9,72.75,78.22,85.12,15.05,0.63,19.29,11.3,7.49,11.73,5.42,13.39,11.82,3.74
2013,3832,Vichada (ETC),20977,74.61,74.6,35.04,74.82,36.74,14.01,84.57,85.77,119.02,62.13,35.26,20.97,35.33,9.17,7.4,9.83,8.75,6.71,87.84,92.33,87.5,86.8,88.89,2.99,0.26,2.67,4.46,4.4,1.25,0.33,0.91,2.36,1.7
2014,3797,Villavicencio,102582,97.69,97.63,61.87,96.07,83.4,48.43,108.52,95.22,115.1,113.82,88.14,26.46,42.57,2.48,2.87,2.24,2.87,1.98,93.98,96.85,95.65,90.97,94.49,3.54,0.28,2.11,6.16,3.53,1.61,0.24,1.21,2.52,1.17
2012,3797,Villavicencio,100023,949901522649791,94.88,62.94,94.31,80.41,45.26,103.82,62.94,94.31,80.41,45.26,24.85,20.5,4.32,3.98,3.59,5.31,4.49,94.01,95.91,95.62,91.66,93.3,1.67,0.11,0.79,3.03,2.22,2.15,0.15,1.4,3.75,1.35
2011,3797,Villavicencio,98866,95.55,95.45,59.87,93.55,81.53,47.33,104.98,85.71,112.7,109.35,86.89,22.09,4.35,2.97,3.49,2.73,3.27,2.73,96.2,96.46,96.75,95.67,95.43,0.83,0.05,0.53,1.05,1.84,1.86,0.08,1.28,3.24,0.87
2015,3797,Villavicencio,103799,92.74,92.66,59.78,91.11,79.15,47.18,104.64,90.39,109.16,107.73,94.33,26.01,66.23,1.33,1.58,1.27,1.47,0.96,93.97,98.26,95.46,90.71,95.44,4.7,0.16,3.27,7.83,3.6,1.33,0.24,1.11,1.98,0.9
2016,3797,Villavicencio,105006,94.17,94.07,59.47,92.83,80.29,48.16,106.19,90,110.13,109.42,98.01,26.357,93.59,4.33,6.69,3.58,5.29,2.9,91.52,93.2,93.89,87.71,92.73,4.16,0.1,2.53,7,4.37,0.81,0.23,0.74,1.19,0.23
2017,3797,Villavicencio,106246,91.82,91.74,58.38,89.85,79.47,48.85,103.79,87.94,105.68,107.56,99.43,31.449,4.64,3.32,4.2,2.85,3.98,2.62,92.36,95.73,94.21,88.97,93.62,4.31,0.07,2.93,7.06,3.76,1.07,0.11,0.97,1.6,0.41
2013,3797,Villavicencio,101350,98.07,97.95,66.38,96.71,81.86,50.69,109.24,103.55,115.78,110.27,93.75,37.33,28.38,3.34,3.63,2.88,4.02,3.02,93.11,95.98,94.78,90.28,92.83,3.55,0.38,2.34,5.71,4.15,1.58,0.19,1.42,2.34,0.81
2011,4841,Yopal,31264,101.13,100.98,76.94,98.48,85.65,48.03,115.97,98.13,117.89,129.32,92.61,22.76,44.21,3.3,3.72,2.58,3.98,3.95,92.74,95.9,94.31,90.18,92.04,3.96,0.38,3.11,5.84,4.01,1.76,0.38,1.36,2.8,1.1
2016,4841,Yopal,33606,105.5,105.41,77.87,104.41,87.1,52.91,117.76,105.2,123.18,123.87,97.88,25.464,69.57,4.55,4.68,4.18,5.93,1.82,88.02,94.9,91.43,80.42,93.13,7.42,0.41,4.4,13.65,5.05,7.15,3.49,6.89,10.08,1.51
2012,4841,Yopal,31780,107152297042165,107.04,87.19,103.05,91.57,49.62,120.78,87.19,103.05,91.57,49.62,25.97,43.16,4.78,4.54,4.15,6.06,3.45,88.98,95.42,91.25,83.61,91.99,6.23,0.04,4.59,10.33,4.55,0.95,0.12,0.69,1.65,0.39
2013,4841,Yopal,32297,108.01,107.94,82.07,105.99,90.38,52.07,124.46,118.92,129.83,126.06,110.32,53.9,62.79,4.01,4.95,3.59,4.69,2.91,90.19,94.89,91.43,86.56,92.94,5.8,0.16,4.97,8.75,4.15,1.2,0.04,0.9,2.08,0.58
2014,4841,Yopal,32765,108.95,108.9,78.05,107.04,90.77,52.36,124.55,110.35,129.37,130.39,107.38,27.49,58.62,2.5,1.84,2.36,2.92,2.2,93.2,97.91,94.64,89.71,94.85,4.3,0.26,2.99,7.37,2.95,1.96,0.38,1.15,3.48,1.71
2017,4841,Yopal,33974,102.17,102.09,82.01,102.27,85.86,50.09,117.34,111.36,125.21,120.92,93.82,29.437,4.3,2.17,2.65,1.87,2.7,1.38,93.96,97.3,95.23,90.98,96.02,3.87,0.04,2.91,6.32,2.59,2.18,0.21,1.56,3.6,1.53
2015,4841,Yopal,33205,108.34,108.25,78.76,107.52,89.05,53.44,123.96,113.43,126.72,130.47,108.83,26.69,5.95,3.77,5.49,3.38,4.63,1.53,87.74,94.17,90.38,80.91,93.86,8.49,0.34,6.25,14.46,4.61,6.56,2.62,6.04,9.55,1.91
2017,4832,Yumbo,22656,90.08,89.36,56.85,84.42,81.74,42.78,101.73,86.25,100.02,117.71,82.76,29.254,100,3.75,3.16,3.16,4.67,3.3,91.35,96.26,93.29,87.6,93.46,4.9,0.58,3.55,7.73,3.24,1.24,1.05,1.15,1.68,0.27
2015,4832,Yumbo,22212,90.64,90.05,52.8,87.8,78.58,42.01,105.06,78.85,109.9,117.5,82.72,25.27,100,1.83,1.62,1.03,2.86,1.88,92.38,98.1,94.69,87.73,94.53,5.79,0.29,4.28,9.41,3.59,1.46,1.14,1.44,1.83,0.51
2016,4832,Yumbo,22405,91.35,90.7,56.17,86.65,79.47,44.62,104.42,83.4,104.66,119.14,86.01,24.502,100,4.1,5.29,3.83,4.79,2.27,89.73,93.44,92.04,84.85,94.17,6.17,1.27,4.13,10.36,3.57,1.26,0.88,0.88,2.02,0.54
2017,10930,Zipaquirá,26307,87.31,87,61.38,87.78,74.26,47.04,96.74,87.08,99.51,101.91,84.21,28.83,20,3.6,3.18,2.04,5.48,3.22,82.78,96.41,88.96,72.55,86.32,13.62,0.41,8.99,21.97,10.46,1.75,1.02,1.38,2.39,1.44
2012,10930,Zipaquirá,25620,888446526151444,88.64,60.74,82.23,81.73,49.28,97.98,60.74,82.23,81.73,49.28,22.11,42.86,3.19,2.26,1.99,4.71,2.5,89.06,97.54,94.37,82.17,90.58,7.75,0.2,3.64,13.11,6.92,4.23,0.49,2.1,7.06,3.58
2011,10930,Zipaquirá,25476,90.97,90.86,63.43,85.04,82.26,51.93,99.76,83.93,98.55,111.73,86.43,22.84,30.95,3.1,1.75,2.86,3.47,3.23,93.42,97.82,93.96,92.45,93.02,3.48,0.44,3.17,4.08,3.75,1.24,0.11,1.01,1.75,0.88
2016,10930,Zipaquirá,26238,87.75,87.47,63.63,87.08,74.51,49.15,96.52,87.14,99.03,100.3,87.15,23.731,94.29,4.55,3.99,2.71,7.07,3.33,82.49,94.94,88.73,72.4,86.25,12.96,1.08,8.56,20.53,10.42,3.74,0.43,3.21,5.24,2.69
2014,10930,Zipaquirá,25979,87.19,87.09,65.78,82.36,78.22,49.71,95.35,93.91,93.6,104,82.84,25.22,88.57,2.19,2.5,1.46,2.89,2.12,86.48,97.1,91.89,78.62,88.45,11.33,0.4,6.65,18.49,9.42,1.01,0,0.74,1.72,0.31
2015,10930,Zipaquirá,26153,87.22,87.03,64.36,82.75,75.86,51.69,96.26,92.05,95.09,102.5,88.56,23.55,91.43,4.32,3.02,2.44,6.59,3.99,81.94,96.37,89.12,71.41,83.76,13.74,0.6,8.43,22,12.24,4.84,0.71,3.39,7.67,3.13
2013,10930,Zipaquirá,25790,87.58,87.37,62.55,81.1,80.12,51.83,95.56,84.45,93,105.14,88.09,35.88,85.71,2.32,1.55,1.28,3.47,2.26,86.28,98.01,91.65,78.65,88.38,11.39,0.44,7.08,17.88,9.37,2.03,0.33,1.36,3.31,0.93
